Group,Experiment,Problem Space,Samples,Iterations,Failure,Baseline,us/Iteration,Iterations/sec,Min (us),Mean (us),Max (us),Variance,Standard Deviation,Skewness,Kurtosis,Z Score
starts_with,strncmp,0,100,1000,0,1,0.094,1.06383e+07,94,98.16,106,3.5903,1.89481,2.19511,6.66768,2.19547
starts_with,strncmp,10,100,1000,0,1,0.103,9.70874e+06,103,107.77,126,9.53242,3.08746,2.87864,12.5411,1.54496
starts_with,strncmp,20,100,1000,0,1,0.109,9.17431e+06,109,112.87,138,12.8213,3.58069,3.9689,23.1711,1.0808
starts_with,strncmp,30,100,1000,0,1,0.12,8.33333e+06,120,125.57,133,8.57081,2.92759,-0.0616883,-0.603787,1.90259
starts_with,strncmp,40,100,1000,0,1,0.126,7.93651e+06,126,128.87,135,3.83141,1.9574,1.07636,1.92923,1.46623
starts_with,strncmp,50,100,1000,0,1,0.141,7.0922e+06,141,145.35,164,18.0884,4.25304,2.35689,5.29231,1.0228
starts_with,strncmp,60,100,1000,0,1,0.143,6.99301e+06,143,146.67,169,11.9405,3.4555,3.9138,18.5852,1.06207
starts_with,strncmp,70,100,1000,0,1,0.158,6.32911e+06,158,164.3,261,177.606,13.3269,5.18857,30.0696,0.472728
starts_with,strncmp,80,100,1000,0,1,0.16,6.25e+06,160,163.91,175,13.7393,3.70666,1.55215,1.30773,1.05486
starts_with,strncmp,90,100,1000,0,1,0.175,5.71429e+06,175,180.71,195,18.7736,4.33286,1.06412,0.298648,1.31784
starts_with,strncmp,100,100,1000,0,1,0.176,5.68182e+06,176,180.78,222,56.2339,7.49893,4.57411,21.0957,0.637424
starts_with,strncmp,512,100,1000,0,1,0.55,1.81818e+06,550,554.72,565,9.25414,3.04206,1.15965,1.40509,1.55158
starts_with,strncmp,1024,100,1000,0,1,0.979,1.02145e+06,979,984.76,1005,14.9115,3.86154,1.77967,6.83414,1.49163
starts_with,strnicmp_cstring,0,100,1000,0,1.04255,0.098,1.02041e+07,98,100.37,112,5.7102,2.3896,2.73525,8.64785,0.991797
starts_with,strnicmp_cstring,10,100,1000,0,1.35922,0.14,7.14286e+06,140,148,219,146.263,12.0939,4.04283,17.4959,0.66149
starts_with,strnicmp_cstring,20,100,1000,0,1.59633,0.174,5.74713e+06,174,182.35,270,242.29,15.5657,4.76814,22.7209,0.536437
starts_with,strnicmp_cstring,30,100,1000,0,1.83333,0.22,4.54545e+06,220,222.85,258,16.7551,4.09329,6.59261,52.8903,0.696261
starts_with,strnicmp_cstring,40,100,1000,0,2.30159,0.29,3.44828e+06,290,352.01,488,5052.35,71.0799,0.675268,-1.31189,0.872398
starts_with,strnicmp_cstring,50,100,1000,0,1.99291,0.281,3.55872e+06,281,287.4,356,83.6162,9.14419,5.60477,35.1443,0.699898
starts_with,strnicmp_cstring,60,100,1000,0,2.16783,0.31,3.22581e+06,310,323.96,452,766.625,27.688,2.94027,7.95476,0.50419
starts_with,strnicmp_cstring,70,100,1000,0,2.1519,0.34,2.94118e+06,340,377.95,722,4214.13,64.9163,2.3168,6.70468,0.584599
starts_with,strnicmp_cstring,80,100,1000,0,2.275,0.364,2.74725e+06,364,401.45,659,4329.79,65.8011,2.16623,3.75649,0.569139
starts_with,strnicmp_cstring,90,100,1000,0,2.26286,0.396,2.52525e+06,396,412.12,497,508.551,22.5511,2.14797,3.31344,0.714822
starts_with,strnicmp_cstring,100,100,1000,0,2.80114,0.493,2.0284e+06,493,504.19,681,995.772,31.5558,4.90789,22.9283,0.354609
starts_with,strnicmp_cstring,512,100,1000,0,3.40545,1.873,533903,1873,1947.79,3025,49756.7,223.062,4.03199,15.2056,0.335288
starts_with,strnicmp_cstring,1024,100,1000,0,3.6047,3.529,283366,3529,3847.5,7553,367268,606.026,4.07554,18.4982,0.525555
starts_with,strnicmp_string,0,100,1000,0,1.02128,0.096,1.04167e+07,96,101.84,150,71.7721,8.47184,3.47991,13.3303,0.689342
starts_with,strnicmp_string,10,100,1000,0,1.08738,0.112,8.92857e+06,112,144.87,271,1561.97,39.5218,0.841101,-0.656418,0.831693
starts_with,strnicmp_string,20,100,1000,0,1.0367,0.113,8.84956e+06,113,139.5,253,1316.7,36.2863,1.20848,0.0542246,0.730303
starts_with,strnicmp_string,30,100,1000,0,1.025,0.123,8.13008e+06,123,130.33,235,415.213,20.3768,3.92972,14.8424,0.359723
starts_with,strnicmp_string,40,100,1000,0,1.03175,0.13,7.69231e+06,130,141.98,257,909.919,30.1649,2.73832,5.94546,0.397151
starts_with,strnicmp_string,50,100,1000,0,1,0.141,7.0922e+06,141,148.27,222,78.6233,8.86698,6.55912,48.3888,0.819896
starts_with,strnicmp_string,60,100,1000,0,1.02797,0.147,6.80272e+06,147,157.33,279,727.233,26.9673,3.30167,9.98923,0.383057
starts_with,strnicmp_string,70,100,1000,0,0.993671,0.157,6.36943e+06,157,219.25,343,3552.19,59.6002,0.316213,-1.61322,1.04446
starts_with,strnicmp_string,80,100,1000,0,1.025,0.164,6.09756e+06,164,176.79,318,706.107,26.5727,3.25376,11.6472,0.481322
starts_with,strnicmp_string,90,100,1000,0,0.994286,0.174,5.74713e+06,174,302.32,827,7051.21,83.9715,1.96126,13.5484,1.52814
starts_with,strnicmp_string,100,100,1000,0,1.02273,0.18,5.55556e+06,180,306.37,468,4909.45,70.0675,-0.53498,-0.331685,1.80355
starts_with,strnicmp_string,512,100,1000,0,1.00727,0.554,1.80505e+06,554,810.96,1255,16398.5,128.057,-0.35892,0.643638,2.00661
